theta_end,R_theta_end,effective_coefficient_V,effective_slope_mV_dec,fixed_accessibility_voltage_contribution_mV
0.986,0.014,0.0165887886814,38.1970975287,70.8125282268
0.984046666667,0.0159533333333,0.0171123806543,39.4027126001,70.8125282268
0.982093333333,0.0179066666667,0.0176037492279,40.5341305529,70.8125282268
0.98014,0.01986,0.0180688103556,41.6049733729,70.8125282268
0.978186666667,0.0218133333333,0.0185119473826,42.6253340855,70.8125282268
0.976233333333,0.0237666666667,0.018936508313,43.6029217549,70.8125282268
0.97428,0.02572,0.0193451145239,44.543772325,70.8125282268
0.972326666667,0.0276733333333,0.0197398612023,45.4527101421,70.8125282268
0.970373333333,0.0296266666667,0.0201224523821,46.3336588895,70.8125282268
0.96842,0.03158,0.0204942947925,47.1898576806,70.8125282268
0.966466666667,0.0335333333333,0.0208565648307,48.0240152702,70.8125282268
0.964513333333,0.0354866666667,0.0212102574609,48.838422648,70.8125282268
0.96256,0.03744,0.0215562226361,49.6350369032,70.8125282268
0.960606666667,0.0393933333333,0.0218951929065,50.4155447948,70.8125282268
0.958653333333,0.0413466666667,0.0222278046747,51.1814116939,70.8125282268
0.9567,0.0433,0.0225546147895,51.9339197925,70.8125282268
0.954746666667,0.0452533333333,0.022876113663,52.6741983062,70.8125282268
0.952793333333,0.0472066666667,0.0231927357572,53.4032476202,70.8125282268
0.95084,0.04916,0.0235048680529,54.1219587913,70.8125282268
0.948886666667,0.0511133333333,0.0238128569557,54.8311294478,70.8125282268
0.946933333333,0.0530666666667,0.0241170139734,55.5314768626,70.8125282268
0.94498,0.05502,0.0244176204216,56.2236487891,70.8125282268
0.943026666667,0.0569733333333,0.0247149313524,56.9082325063,70.8125282268
0.941073333333,0.0589266666667,0.0250091788555,57.5857624207,70.8125282268
0.93912,0.06088,0.0253005748508,58.2567264956,70.8125282268
0.937166666667,0.0628333333333,0.025589313463,58.9215717197,70.8125282268
0.935213333333,0.0647866666667,0.0258755730528,59.5807087841,70.8125282268
0.93326,0.06674,0.0261595179635,60.2345161026,70.8125282268
0.931306666667,0.0686933333333,0.0264413000279,60.8833432837,70.8125282268
0.929353333333,0.0706466666667,0.0267210598776,61.5275141433,70.8125282268
0.9274,0.0726,0.026998928082,62.1673293284,70.8125282268
0.925446666667,0.0745533333333,0.027275026145,62.8030686126,70.8125282268
0.923493333333,0.0765066666667,0.0275494673808,63.434992911,70.8125282268
0.92154,0.07846,0.0278223576841,64.0633460552,70.8125282268
0.919586666667,0.0804133333333,0.0280937962119,64.6883563631,70.8125282268
0.917633333333,0.0823666666667,0.0283638759881,65.3102380297,70.8125282268
0.91568,0.08432,0.0286326844406,65.9291923653,70.8125282268
0.913726666667,0.0862733333333,0.0289003038812,66.5454088998,70.8125282268
0.911773333333,0.0882266666667,0.0291668119341,67.1590663697,70.8125282268
0.90982,0.09018,0.0294322819211,67.7703336043,70.8125282268
0.907866666667,0.0921333333333,0.0296967832067,68.3793703215,70.8125282268
0.905913333333,0.0940866666667,0.0299603815102,68.9863278459,70.8125282268
0.90396,0.09604,0.0302231391874,69.5913497564,70.8125282268
0.902006666667,0.0979933333333,0.0304851154847,70.1945724732,70.8125282268
0.900053333333,0.0999466666667,0.0307463667708,70.7961257902,70.8125282268
0.8981,0.1019,0.0310069467467,71.3961333582,70.8125282268
0.896146666667,0.103853333333,0.031266906637,71.9947131263,70.8125282268
0.894193333333,0.105806666667,0.0315262953642,72.5919777429,70.8125282268
0.89224,0.10776,0.0317851597089,73.1880349241,70.8125282268
0.890286666667,0.109713333333,0.0320435444553,73.7829877894,70.8125282268
0.888333333333,0.111666666667,0.0323014925255,74.3769351707,70.8125282268
0.88638,0.11362,0.0325590451026,74.9699718953,70.8125282268
0.884426666667,0.115573333333,0.0328162417438,75.5621890474,70.8125282268
0.882473333333,0.117526666667,0.033073120485,76.1536742075,70.8125282268
0.88052,0.11948,0.0333297179367,76.7445116749,70.8125282268
0.878566666667,0.121433333333,0.0335860693737,77.3347826721,70.8125282268
0.876613333333,0.123386666667,0.0338422088165,77.9245655348,70.8125282268
0.87466,0.12534,0.0340981691083,78.5139358873,70.8125282268
0.872706666667,0.127293333333,0.0343539819858,79.1029668054,70.8125282268
0.870753333333,0.129246666667,0.0346096781443,79.6917289683,70.8125282268
0.8688,0.1312,0.0348652872995,80.2802907988,70.8125282268
0.866846666667,0.133153333333,0.0351208382443,80.8687185949,70.8125282268
0.864893333333,0.135106666667,0.0353763589017,81.4570766516,70.8125282268
0.86294,0.13706,0.0356318763745,82.0454273753,70.8125282268
0.860986666667,0.139013333333,0.0358874169913,82.6338313903,70.8125282268
0.859033333333,0.140966666667,0.0361430063504,83.2223476385,70.8125282268
0.85708,0.14292,0.0363986693596,83.8110334723,70.8125282268
0.855126666667,0.144873333333,0.0366544302747,84.3999447428,70.8125282268
0.853173333333,0.146826666667,0.0369103127349,84.9891358812,70.8125282268
0.85122,0.14878,0.0371663397963,85.5786599762,70.8125282268
0.849266666667,0.150733333333,0.0374225339635,86.1685688464,70.8125282268
0.847313333333,0.152686666667,0.0376789172189,86.7589131083,70.8125282268
0.84536,0.15464,0.0379355110507,87.3497422405,70.8125282268
0.843406666667,0.156593333333,0.0381923364794,87.9411046442,70.8125282268
0.841453333333,0.158546666667,0.0384494140824,88.5330477004,70.8125282268
0.8395,0.1605,0.0387067640171,89.1256178237,70.8125282268
0.837546666667,0.162453333333,0.0389644060435,89.718860513,70.8125282268
0.835593333333,0.164406666667,0.0392223595449,90.3128204001,70.8125282268
0.83364,0.16636,0.0394806435477,90.9075412947,70.8125282268
0.831686666667,0.168313333333,0.0397392767402,91.5030662284,70.8125282268
0.829733333333,0.170266666667,0.0399982774904,92.0994374948,70.8125282268
0.82778,0.17222,0.0402576638627,92.6966966891,70.8125282268
0.825826666667,0.174173333333,0.0405174536344,93.2948847447,70.8125282268
0.823873333333,0.176126666667,0.0407776643103,93.8940419681,70.8125282268
0.82192,0.17808,0.0410383131378,94.4942080727,70.8125282268
0.819966666667,0.180033333333,0.0412994171203,95.0954222105,70.8125282268
0.818013333333,0.181986666667,0.0415609930305,95.6977230021,70.8125282268
0.81606,0.18394,0.0418230574231,96.3011485658,70.8125282268
