"id","file","line_or_section","claim","severity","verdict","citation_keys","evidence_class","evidence_path","assessment","minimum_safe_fix","status"
"BIB-001","main_R582.tex; SI_R582.tex; refs.bib","all citations","All active citation keys resolve to unique BibTeX entries.","INFO","PASS","44 unique cited keys","bibliography-integrity","manuscript/refs.bib; manuscript/audit_R582/CITATION_DOI_CROSSREF_AUDIT.json","70 citation occurrences resolve to 44 unique keys; missing keys=0; duplicate BibTeX keys=0; duplicate DOI groups=0.","None.","CLOSED"
"DOI-001","refs.bib","44 cited entries","Every cited journal/method entry has a checked DOI or authoritative metadata record.","INFO","PASS","Ehlert2021ALPB; Bussi2007VRescale; Bernetti2020CRescale; Essmann1995PME; Savitzky1964; Park2021; Tichter2020","external-metadata","manuscript/refs.bib; manuscript/audit_R582/CITATION_DOI_CROSSREF_AUDIT.json","All 44 cited entries have DOI fields. The five strict method additions were separately checked against Crossref; Park2021 and Tichter2020 were checked against publisher/KCI and Refubium records.","None.","CLOSED"
"EXT-001","main_R582.tex","Introduction: ZIFB background","ZIFB flow-battery development is supported by directly relevant flow-battery literature.","INFO","PASS","Li2015; Xie2018; Weng2017; Fan2024","external-literature","manuscript/refs.bib","The sentence is bounded to flow-battery background and does not recast static Zn-I2 work as direct ZIFB evidence.","None.","CLOSED"
"EXT-002","main_R582.tex; SI_R582.tex","iodine equilibrium statements","I2/I-/I3- equilibrium and soluble polyiodide representation are source-supported.","INFO","PASS","Palmer1984; Wen2025","external-literature","manuscript/refs.bib","The cited sources support equilibrium/speciation context; Palmer is not used as evidence for an unmeasured kinetic rate.","None.","CLOSED"
"EXT-003","main_R582.tex","confined-solid-iodine paragraph","Confined carbon hosts can retain reversible solid iodine under host-specific conditions.","INFO","PASS","SolidI2_NatCommun2020; Fitzek2023","external-literature","manuscript/refs.bib","The manuscript preserves the host-specific boundary and does not extrapolate the cited morphology to the present felt.","None.","CLOSED"
"EXT-004","main_R582.tex","interfacial-film paragraph","A dense iodine film can be associated with increased charge-transfer resistance in other conditions.","INFO","PASS","Jang2021","external-literature","manuscript/refs.bib","Wording is associative and cross-system; no numerical threshold is transplanted to the present cell.","None.","CLOSED"
"EXT-005","main_R582.tex","morphology-comparison paragraph","Charge/discharge morphology changes have been observed in another iodine battery chemistry.","INFO","PASS","LiDualPlate2025","external-literature","manuscript/refs.bib","The cited system is explicitly labeled as a different iodine cell and is not treated as identification of the present felt morphology.","None.","CLOSED"
"EXT-006","main_R582.tex; SI_R582.tex","porous-electrode theory and flow extensions","Classical porous-electrode theory and later flow-cell extensions support the modeling hierarchy.","INFO","PASS","Newman1962; Tichter2020; Chakrabarti2020; AparicioMauricio2023","external-literature","manuscript/refs.bib","Foundational theory and flow-battery extensions are stated in separate layers.","None.","CLOSED"
"EXT-007","main_R582.tex","solid-product analogue paragraph","Solid-product electrodes provide analogue evidence that precipitation can alter active area and transport.","INFO","PASS","LiS_ROM_JES2025; ZnO_EEM2024; Li2S_EcoMat2024","external-literature","manuscript/refs.bib","The manuscript no longer labels all cited experimental/operando studies as models and limits the inference to an analogue.","None.","CLOSED"
"EXT-008","main_R582.tex; SI_R582.tex","iodide-complexation prior","The adopted iodide-complexation coefficient is a conditional literature-scale prior.","INFO","PASS","Palmer1984","external-literature","manuscript/refs.bib","0.72 m3 mol-1 equals 720 M-1 and is described as near 698 +/- 10 M-1, not as an exact reproduction.","None.","CLOSED"
"EXT-009","main_R582.tex; SI_R582.tex","bromide-complexation prior","The adopted bromide coefficient is near a reported I2Br- formation scale, while other papers establish only formation precedent.","INFO","PASS","Lee2023; Park2021; Weng2017","external-literature","manuscript/refs.bib","0.0115 m3 mol-1 equals 11.5 L mol-1 and is near Lee's 12.2 L mol-1; Park/Weng are not used for that number.","None.","CLOSED"
"EXT-010","main_R582.tex; SI_R582.tex","solubility and salting prior","Dilute-water I2 solubility and the salting multiplier are correctly separated.","INFO","PASS","Ramette1965; Palmer1984","external-literature","manuscript/refs.bib","1.33 mol m-3 is a dilute-water reference. gamma_salt=3, varied 2-4, is explicitly a cross-salt prior rather than a measurement in the present electrolyte.","None.","CLOSED"
