"id","draft_line","section","minimal_claim","citation_keys","status","source_locator","evidence_excerpt_le25_words","assessment","safer_wording","action","evidence_path"
"I01","17","Introduction","Recent ZIFB studies demonstrate high-capacity appeal and improved electrodes, electrolytes, cell designs, rate performance, and cycling stability.","Li2015;Xie2018;Weng2017;Wen2025;Fan2024;Huang2025;WuLoading2025","CONTEXT-RISK","Li2015 abstract/results; Xie2018 abstract; Weng2017 p.1; Fan2024 p.1; Wen2025 p.1; Huang2025 p.1; WuLoading2025 p.1","Weng: 'complexing agent to stabilize the iodine, forming iodine-bromide ions'.","Li2015, Xie2018, Weng2017 and Fan2024 concern flow batteries; Wen2025, Huang2025 and WuLoading2025 concern the broader/static Zn-I2 field. Calling the whole set ZIFB evidence conflates architectures.","Over the past decade, zinc-polyiodide flow batteries have combined high-energy iodide chemistry with electrolyte, membrane and cell-design strategies for improved power and cycling performance \\citep{Li2015,Xie2018,Weng2017,Fan2024}.","MUST_CHANGE","https://www.nature.com/articles/ncomms7303; https://onlinelibrary.wiley.com/doi/10.1002/anie.201803122; literature_pdfs/halide_complexation/Weng2017_EES_ZincPolyiodideI2Br.pdf; literature_pdfs/Fan2024.pdf; literature_pdfs/Wen2025.pdf; literature_pdfs/Huang2025.pdf; literature_pdfs/round2/ZnI_Joule2025.pdf"
"I02a","19","Introduction","During positive-electrode charge, iodide is oxidized to molecular iodine.","Wen2025","FULL","Wen2025 pp.4-5, low-valence conversion discussion and Eqs. 1-4","During charging, I- is first oxidized to I2.","The review explicitly states the charge direction and the I-/I2/I3- sequence.","Retain; optionally write the half-reaction as an idealized bookkeeping reaction.","KEEP","literature_pdfs/Wen2025.pdf"
"I02b","19","Introduction","Excess iodide binds aqueous I2 through I2 + I- <=> I3-, and I3- is the predominant soluble polyiodide in the stated treatment.","Palmer1984;Wen2025","FULL","Palmer1984 p.673 Eq.1 and pp.677-679 Tables III-IV; Wen2025 p.5 Eqs.2-3 and adjacent text","Palmer: 'equilibrium constant at 25 C is 698 +/- 10'.","Palmer directly establishes the aqueous triiodide formation equilibrium; Wen states that other polyiodides are less stable and commonly represented by I3-.","In excess iodide, aqueous I2 is partitioned by I2 + I- <=> I3-; I3- is commonly treated as the dominant soluble polyiodide \\citep{Palmer1984,Wen2025}.","KEEP_WITH_OPTIONAL_TIGHTENING","literature_pdfs/round2/Palmer1984.pdf; literature_pdfs/Wen2025.pdf"
"I02c","19","Introduction","Iodide rapidly binds I2.","Palmer1984;Wen2025","PARTIAL","Palmer1984 throughout is an equilibrium/activity study, not a kinetic study; Wen2025 p.4 says the reaction is favorable and rapid but is a review statement","Wen: 'this reaction is more favorable and occurs rapidly'.","The citation pair supports equilibrium/speciation, but Palmer does not measure a complexation rate. The kinetic adverb rests only on a secondary review and is unnecessary.","Remove 'rapidly': excess iodide binds aqueous I2 through the I2 + I- <=> I3- equilibrium.","MUST_CHANGE","literature_pdfs/round2/Palmer1984.pdf; literature_pdfs/Wen2025.pdf"
"I03","19","Introduction","Nanoporous carbon hosts can retain substantial solid iodine while maintaining reversible electrochemistry.","SolidI2_NatCommun2020;Fitzek2023","FULL","SolidI2_NatCommun2020 pp.4-6, Figs.2g,3c-d,4a-c; Fitzek2023 pp.6-9, Figs.2-4","There are no signs for performance degradation after cycling several hundred times.","Directly supported for nanoporous carbon: about 30% pore occupancy, near-100% CE over hundreds of cycles, and reversible spectroscopic/structural changes. It is host-specific, not transferable to felt morphology.","Retain with 'nanoporous carbon' explicit; the following non-transfer sentence is essential.","KEEP","literature_pdfs/round2/SolidI2_NatCommun2020.pdf; literature_pdfs/Fitzek2023.pdf"
"I04","19","Introduction","A dense iodine film can cause a large increase in positive-electrode charge-transfer resistance under other conditions.","Jang2021","FULL","Jang2021 p.6385 abstract; pp.6388-6391, Figs.3-6","dramatic 9-fold increase of Rct to 147.4 ohm cm2","Jang directly measured the porous-to-dense film transition, Rct increase from below 16.5 to 147.4 ohm cm2, and >300 mV overpotential rise above 400 mA cm-2.","Use 'dense iodine film' rather than the broader 'dense iodine deposits'.","KEEP_WITH_OPTIONAL_TIGHTENING","literature_pdfs/round12/Jang_ACSAMI2021_IodineFilm_ChargeTransferResistance.pdf"
"I05","19","Introduction","In another iodine cell, optical microscopy shows a charged-state iodine film and residual separated particles after discharge.","LiDualPlate2025","FULL","LiDualPlate2025 pp.3163-3164, Fig.3a-b and Fig.S12","yellow iodine films immediately cover the carbon fiber; A few I2 particles are observed","Direct in-situ optical evidence on graphite-felt fibers: film coverage after 210 s charge and a few particles after 420 s discharge. The chemistry is a dual-plating G4/I- cell, not the present electrolyte.","Retain the explicit 'different iodine cell' boundary and do not transfer morphology thresholds.","KEEP","literature_pdfs/round3/Li_EES2025_DualPlatingHalogenComplexation.pdf"
"I06","21","Introduction","Continuum porous-electrode models calculate species transport, current distribution and potential fields across a flow cell.","Newman1962;Tichter2020;Chakrabarti2020;AparicioMauricio2023","PARTIAL","Newman1962 pp.1183-1191; Tichter2020 thesis; Chakrabarti2020 p.5433 abstract and sections 3.3-4; AparicioMauricio2023 pp.1-6, Eqs.2-31 and Figs.4-6","Aparicio: 'tertiary current distribution model' with concentration, current and potential fields.","Newman and Tichter are foundational porous/macroporous-electrode theory, not flow-cell demonstrations. Chakrabarti and Aparicio support the flow-battery extension. The grouped sentence obscures this distinction.","Porous-electrode theory resolves coupled current and species transport \\citep{Newman1962,Tichter2020}; flow-battery extensions calculate concentration, current and potential distributions across porous cells \\citep{Chakrabarti2020,AparicioMauricio2023}.","MUST_CHANGE","literature_pdfs/Chakrabarti2020.pdf; literature_pdfs/AparicioMauricio2023.pdf"
"I07","21","Introduction","Models of other solid-product electrodes show that a growing phase feeds back on reaction area and transport.","LiS_ROM_JES2025;ZnO_EEM2024;Li2S_EcoMat2024","PARTIAL","LiS_ROM_JES2025 pp.2-4, Eq.13 and porosity/reaction-area formulation; ZnO_EEM2024 pp.1-4, Figs.1-4; Li2S_EcoMat2024 pp.1-2 and 5-8, Figs.1,3-4","LiS model: 'effect of porosity variation on the active reaction area'.","Only LiS_ROM is a model. ZnO_EEM and Li2S_EcoMat are experimental/in-situ studies. All support solid-phase feedback, but the source type is misstated.","Studies of other solid-product electrodes, including reduced-order modeling and operando characterization, show how precipitation can alter reaction area and transport \\citep{LiS_ROM_JES2025,ZnO_EEM2024,Li2S_EcoMat2024}.","MUST_CHANGE","literature_pdfs/round2/LiS_ROM_JES2025.pdf; literature_pdfs/round2/ZnO_EEM2024.pdf; literature_pdfs/round2/Li2S_EcoMat2024.pdf"
"D01","70","Methods 2.4","Periodic DFT calculations used CP2K/Quickstep.","Kuhne2020CP2K;VandeVondele2005Quickstep","FULL","Kuhne2020CP2K JCP 152, 194103, title/overview; VandeVondele2005 pp.103-128, abstract and implementation sections","Quickstep is part of the CP2K program package.","Both primary software/method papers are correctly matched to CP2K and its Quickstep GPW implementation.","Retain; add the actual CP2K version/build in the final Methods or SI.","KEEP","manuscript/refs.bib"
